item,condition,sentence
1,stranding_short,The manager from the agency asked which table the caterer carefully put the appetizers on during the reception
1,stranding_long,The manager asked which table the caterer from the local temp agency carefully put the appetizers on during the reception
1,ppiping_short,The manager from the agency asked on which table the caterer carefully put the appetizers during the reception
1,ppiping_long,The manager asked on which table the caterer from the local temp agency carefully put the appetizers during the reception
1,doubling_short,The manager from the agency asked on which table the caterer carefully put the appetizers on during the reception
1,doubling_long,The manager asked on which table the caterer from the local temp agency carefully put the appetizers on during the reception
2,stranding_short,The intern from the firm knew which wall the contractor expertly mounted the shelf on during the remodel
2,stranding_long,The intern knew which wall the contractor from the famous architectural firm expertly mounted the shelf on during the remodel
2,ppiping_short,The intern from the firm knew on which wall the contractor expertly mounted the shelf during the remodel
2,ppiping_long,The intern knew on which wall the contractor from the famous architectural firm expertly mounted the shelf during the remodel
2,doubling_short,The intern from the firm knew on which wall the contractor expertly mounted the shelf on during the remodel
2,doubling_long,The intern knew on which wall the contractor from the famous architectural firm expertly mounted the shelf on during the remodel
3,stranding_short,The counselor from the school asked which mural the teenager angrily sprayed the paint on during the riot
3,stranding_long,The counselor which mural the teenager from the expensive private school angrily sprayed the paint on during the riot
3,ppiping_short,The counselor from the school asked on which mural the teenager angrily sprayed the paint during the riot
3,ppiping_long,The counselor on which mural the teenager from the expensive private school angrily sprayed the paint during the riot
3,doubling_short,The counselor from the school asked on which mural the teenager angrily sprayed the paint on during the riot
3,doubling_long,The counselor on which mural the teenager from the expensive private school angrily sprayed the paint on during the riot
4,stranding_short,The quartermaster of the ship discovered which cabin the captain quietly stowed the treasure in during the battle
4,stranding_long,The quartermaster discovered which cabin the captain of the notorious pirate ship quietly stowed the treasure in during the battle
4,ppiping_short,The quartermaster of the ship discovered in which cabin the captain quietly stowed the treasure during the battle
4,ppiping_long,The quartermaster discovered in which cabin the captain of the notorious pirate ship quietly stowed the treasure during the battle
4,doubling_short,The quartermaster of the ship discovered in which cabin the captain quietly stowed the treasure in during the battle
4,doubling_long,The quartermaster discovered in which cabin the captain of the notorious pirate ship quietly stowed the treasure in during the battle
5,stranding_short,The landlord of the apartment wondered which truck the mover hastily loaded the boxes on during the move
5,stranding_long,The landlord wondered which truck the mover from the greedy rental company hastily loaded the boxes on during the move
5,ppiping_short,The landlord of the apartment wondered on which truck the mover hastily loaded the boxes during the move
5,ppiping_long,The landlord wondered on which truck the mover from the greedy rental company hastily loaded the boxes during the move
5,doubling_short,The landlord of the apartment wondered on which truck the mover hastily loaded the boxes on during the move
5,doubling_long,The landlord wondered on which truck the mover from the greedy rental company hastily loaded the boxes on during the move
6,stranding_short,The teacher from the seminar forgot which desk the student accidentally spilled his soda on last week before class
6,stranding_long,The teacher forgot which desk the student from the remedial math class accidentally spilled his soda on last week before class
6,ppiping_short,The teacher from the seminar forgot on which desk the student accidentally spilled his soda last week before class
6,ppiping_long,The teacher forgot on which desk the student from the remedial math class accidentally spilled his soda last week before class
6,doubling_short,The teacher from the seminar forgot on which desk the student accidentally spilled his soda on last week before class
6,doubling_long,The teacher forgot on which desk the student from the remedial math class accidentally spilled his soda on last week before class
7,stranding_short,The deputy of the town wondered which chair the sheriff normally rested his feet on after a long shift
7,stranding_long,The deputy wondered which chair the sheriff of the small rural town normally rested his feet on after a long shift
7,ppiping_short,The deputy of the town wondered on which chair the sheriff normally rested his feet after a long shift
7,ppiping_long,The deputy wondered on which chair the sheriff of the small rural town normally rested his feet after a long shift
7,doubling_short,The deputy of the town wondered on which chair the sheriff normally rested his feet on after a long shift
7,doubling_long,The deputy wondered on which chair the sheriff of the small rural town normally rested his feet on after a long shift
8,stranding_short,The assistant with terrible ethics knew which workspace the scientist clumsily splashed the acid on after cleaning the lab
8,stranding_long,The assistant knew which workspace the scientist with a terrible work ethic clumsily splashed the acid on after cleaning the lab
8,ppiping_short,The assistant with terrible ethics knew on which workspace the scientist clumsily splashed the acid after cleaning the lab
8,ppiping_long,The assistant knew on which workspace the scientist with a terrible work ethic clumsily splashed the acid after cleaning the lab
8,doubling_short,The assistant with terrible ethics knew on which workspace the scientist clumsily splashed the acid on after cleaning the lab
8,doubling_long,The assistant knew on which workspace the scientist with a terrible work ethic clumsily splashed the acid on after cleaning the lab
9,stranding_short,The babysitter with guilty eyes asked which chest the children quickly stashed the magazine in before their grandmother entered
9,stranding_long,The babysitter asked which chest the children with big guilt ridden eyes quickly stashed the magazine in before their grandmother entered
9,ppiping_short,The babysitter with guilty eyes asked in which chest the children quickly stashed the magazine before their grandmother entered
9,ppiping_long,The babysitter asked in which chest the children with big guilt ridden eyes quickly stashed the magazine before their grandmother entered
9,doubling_short,The babysitter with guilty eyes asked in which chest the children quickly stashed the magazine in before their grandmother entered
9,doubling_long,The babysitter asked in which chest the children with big guilt ridden eyes quickly stashed the magazine in before their grandmother entered
10,stranding_short,The consultant for the project forgot which shelf her assistant thoughtfully placed the memo on before the business meeting
10,stranding_long,The consultant forgot which shelf her assistant for the next big project thoughtfully placed the memo on before the business meeting
10,ppiping_short,The consultant for the project forgot on which shelf her assistant thoughtfully placed the memo before the business meeting
10,ppiping_long,The consultant forgot on which shelf her assistant for the next big project thoughtfully placed the memo before the business meeting
10,doubling_short,The consultant for the project forgot on which shelf her assistant thoughtfully placed the memo on before the business meeting
10,doubling_long,The consultant forgot on which shelf her assistant for the next big project thoughtfully placed the memo on before the business meeting
11,stranding_short,The auctioneer with the tuxedo knew which rack the butler gently set his coat on during the gala
11,stranding_long,The auctioneer knew which rack the butler with the professionally fitted tuxedo gently set his coat on during the gala
11,ppiping_short,The auctioneer with the tuxedo knew on which rack the butler gently set his coat during the gala
11,ppiping_long,The auctioneer knew on which rack the butler with the professionally fitted tuxedo gently set his coat during the gala
11,doubling_short,The auctioneer with the tuxedo knew on which rack the butler gently set his coat on during the gala
11,doubling_long,The auctioneer knew on which rack the butler with the professionally fitted tuxedo gently set his coat on during the gala
12,stranding_short,The drifter at the park remembered which stump the ranger forcefully jammed the stake in before securing the tent
12,stranding_long,The drifter remembered which stump the ranger at the famous state park forcefully jammed the stake in before securing the tent
12,ppiping_short,The drifter at the park remembered in which stump the ranger forcefully jammed the stake before securing the tent
12,ppiping_long,The drifter remembered in which stump the ranger at the famous state park forcefully jammed the stake before securing the tent
12,doubling_short,The drifter at the park remembered in which stump the ranger forcefully jammed the stake in before securing the tent
12,doubling_long,The drifter remembered in which stump the ranger at the famous state park forcefully jammed the stake in before securing the tent
13,stranding_short,The curator for the museum wondered which closet the custodian regularly stored his broom in while taking his break
13,stranding_long,The curator wondered which closet the custodian for the fine arts museum regularly stored his broom in while taking his break
13,ppiping_short,The curator for the museum wondered in which closet the custodian regularly stored his broom while taking his break
13,ppiping_long,The curator wondered in which closet the custodian for the fine arts museum regularly stored his broom while taking his break
13,doubling_short,The curator for the museum wondered in which closet the custodian regularly stored his broom in while taking his break
13,doubling_long,The curator wondered in which closet the custodian for the fine arts museum regularly stored his broom in while taking his break
14,stranding_short,The dancer from the studio discovered which drawer the instructor secretly kept the letter in after interrupting a meeting
14,stranding_long,The dancer discovered which drawer the instructor from the exclusive ballet studio secretly kept the letter in after interrupting a meeting
14,ppiping_short,The dancer from the studio discovered in which drawer the instructor secretly kept the letter after interrupting a meeting
14,ppiping_long,The dancer discovered in which drawer the instructor from the exclusive ballet studio secretly kept the letter after interrupting a meeting
14,doubling_short,The dancer from the studio discovered in which drawer the instructor secretly kept the letter in after interrupting a meeting
14,doubling_long,The dancer discovered in which drawer the instructor from the exclusive ballet studio secretly kept the letter in after interrupting a meeting
15,stranding_short,The florist at the conservatory forgot which pot the gardener gingerly planted the seed in before watering the orchids
15,stranding_long,The florist forgot which pot the gardener at the conservatory of flowers gingerly planted the seed in before watering the orchids
15,ppiping_short,The florist at the conservatory forgot in which pot the gardener gingerly planted the seed before watering the orchids
15,ppiping_long,The florist forgot in which pot the gardener at the conservatory of flowers gingerly planted the seed before watering the orchids
15,doubling_short,The florist at the conservatory forgot in which pot the gardener gingerly planted the seed in before watering the orchids
15,doubling_long,The florist forgot in which pot the gardener at the conservatory of flowers gingerly planted the seed in before watering the orchids
16,stranding_short,The pianist for the band asked which podium the composer nervously put the sheet music on before the concert began
16,stranding_long,The pianist asked which podium the composer for the experimental jazz band nervously put the sheet music on before the concert began
16,ppiping_short,The pianist for the band asked on which podium the composer nervously put the sheet music before the concert began
16,ppiping_long,The pianist asked on which podium the composer for the experimental jazz band nervously put the sheet music before the concert began
16,doubling_short,The pianist for the band asked on which podium the composer nervously put the sheet music on before the concert began
16,doubling_long,The pianist asked on which podium the composer for the experimental jazz band nervously put the sheet music on before the concert began
17,stranding_short,The apprentice from the guild knew which workbench the woodworker awkwardly mounted the clamp on during the workshop renovation
17,stranding_long,The apprentice knew which workbench the woodworker from the amateur whittling class awkwardly mounted the clamp on during the workshop renovation
17,ppiping_short,The apprentice from the guild knew on which workbench the woodworker awkwardly mounted the clamp during the workshop renovation
17,ppiping_long,The apprentice knew on which workbench the woodworker from the amateur whittling class awkwardly mounted the clamp during the workshop renovation
17,doubling_short,The apprentice from the guild knew on which workbench the woodworker awkwardly mounted the clamp on during the workshop renovation
17,doubling_long,The apprentice knew on which workbench the woodworker from the amateur whittling class awkwardly mounted the clamp on during the workshop renovation
18,stranding_short,The vigilante with a record figured out which building the arsonist dangerously sprayed the gasoline on after smelling something abnormal
18,stranding_long,The vigilante figured out which building the arsonist with a large criminal record dangerously sprayed the gasoline on after smelling something abnormal
18,ppiping_short,The vigilante with a record figured out on which building the arsonist dangerously sprayed the gasoline after smelling something abnormal
18,ppiping_long,The vigilante figured out on which building the arsonist with a large criminal record dangerously sprayed the gasoline after smelling something abnormal
18,doubling_short,The vigilante with a record figured out on which building the arsonist dangerously sprayed the gasoline on after smelling something abnormal
18,doubling_long,The vigilante figured out on which building the arsonist with a large criminal record dangerously sprayed the gasoline on after smelling something abnormal
19,stranding_short,The homeowner at the office forgot which safe the attorney dutifully stowed the deed in following the foreclosure auction
19,stranding_long,The homeowner forgot which safe the attorney at the real estate office dutifully stowed the deed in following the foreclosure auction
19,ppiping_short,The homeowner at the office forgot in which safe the attorney dutifully stowed the deed following the foreclosure auction
19,ppiping_long,The homeowner forgot in which safe the attorney at the real estate office dutifully stowed the deed following the foreclosure auction
19,doubling_short,The homeowner at the office forgot in which safe the attorney dutifully stowed the deed in following the foreclosure auction
19,doubling_long,The homeowner forgot in which safe the attorney at the real estate office dutifully stowed the deed in following the foreclosure auction
20,stranding_short,The foreman at the shipyard wondered which platform the worker mistakenly loaded the crates on while preparing the cargo
20,stranding_long,The foreman wondered which platform the worker at the old ship yard mistakenly loaded the crates on while preparing the cargo
20,ppiping_short,The foreman at the shipyard wondered on which platform the worker mistakenly loaded the crates while preparing the cargo
20,ppiping_long,The foreman wondered on which platform the worker at the old ship yard mistakenly loaded the crates while preparing the cargo
20,doubling_short,The foreman at the shipyard wondered on which platform the worker mistakenly loaded the crates on while preparing the cargo
20,doubling_long,The foreman wondered on which platform the worker at the old ship yard mistakenly loaded the crates on while preparing the cargo
21,stranding_short,The renovator for the home discovered which carpet the housekeeper carelessly spilled the coffee on after moving the couch
21,stranding_long,The renovator discovered which carpet the housekeeper for the large victorian home carelessly spilled the coffee on after moving the couch
21,ppiping_short,The renovator for the home discovered on which carpet the housekeeper carelessly spilled the coffee after moving the couch
21,ppiping_long,The renovator discovered on which carpet the housekeeper for the large victorian home carelessly spilled the coffee after moving the couch
21,doubling_short,The renovator for the home discovered on which carpet the housekeeper carelessly spilled the coffee on after moving the couch
21,doubling_long,The renovator discovered on which carpet the housekeeper for the large victorian home carelessly spilled the coffee on after moving the couch
22,stranding_short,The doctor at the clinic asked which armchair the patient usually rested her elbow on during the wrist exercises
22,stranding_long,The doctor asked which armchair the patient at the physical therapy clinic usually rested her elbow on during the wrist exercises
22,ppiping_short,The doctor at the clinic asked on which armchair the patient usually rested her elbow during the wrist exercises
22,ppiping_long,The doctor asked on which armchair the patient at the physical therapy clinic usually rested her elbow during the wrist exercises
22,doubling_short,The doctor at the clinic asked on which armchair the patient usually rested her elbow on during the wrist exercises
22,doubling_long,The doctor asked on which armchair the patient at the physical therapy clinic usually rested her elbow on during the wrist exercises
23,stranding_short,The caretaker at the hospice discovered which television the resident clumsily splashed the juice on while having an episode
23,stranding_long,The caretaker discovered which television the resident at the old folks home clumsily splashed the juice on while having an episode
23,ppiping_short,The caretaker at the hospice discovered on which television the resident clumsily splashed the juice while having an episode
23,ppiping_long,The caretaker discovered on which television the resident at the old folks home clumsily splashed the juice while having an episode
23,doubling_short,The caretaker at the hospice discovered on which television the resident clumsily splashed the juice on while having an episode
23,doubling_long,The caretaker discovered on which television the resident at the old folks home clumsily splashed the juice on while having an episode
24,stranding_short,The secretary at the bureau found out which cabinet the accountant discreetly stashed the receipts in after the auditor arrived
24,stranding_long,The secretary found out which cabinet the accountant at the large corporate office discreetly stashed the receipts in after the auditor arrived
24,ppiping_short,The secretary at the bureau found out in which cabinet the accountant discreetly stashed the receipts after the auditor arrived
24,ppiping_long,The secretary found out in which cabinet the accountant at the large corporate office discreetly stashed the receipts after the auditor arrived
24,doubling_short,The secretary at the bureau found out in which cabinet the accountant discreetly stashed the receipts in after the auditor arrived
24,doubling_long,The secretary found out in which cabinet the accountant at the large corporate office discreetly stashed the receipts in after the auditor arrived
25,stranding_short,The cashier at the store forgot which board the supervisor recently placed the timesheets on following the training meeting
25,stranding_long,The cashier forgot which board the supervisor at the organic grocery store recently placed the timesheets on following the training meeting
25,ppiping_short,The cashier at the store forgot on which board the supervisor recently placed the timesheets following the training meeting
25,ppiping_long,The cashier forgot on which board the supervisor at the organic grocery store recently placed the timesheets following the training meeting
25,doubling_short,The cashier at the store forgot on which board the supervisor recently placed the timesheets on following the training meeting
25,doubling_long,The cashier forgot on which board the supervisor at the organic grocery store recently placed the timesheets on following the training meeting
26,stranding_short,The judge from the hearing knew which counter the officer reluctantly set his badge on before declaring his resignation
26,stranding_long,The judge knew which counter the officer from the recent court case reluctantly set his badge on before declaring his resignation
26,ppiping_short,The judge from the hearing knew on which counter the officer reluctantly set his badge before declaring his resignation
26,ppiping_long,The judge knew on which counter the officer from the recent court case reluctantly set his badge before declaring his resignation
26,doubling_short,The judge from the hearing knew on which counter the officer reluctantly set his badge on before declaring his resignation
26,doubling_long,The judge knew on which counter the officer from the recent court case reluctantly set his badge on before declaring his resignation
27,stranding_short,The cadet with little experience remembered which hole the boatswain swiftly jammed the cork in after the leak was found
27,stranding_long,The cadet remembered which hole the boatswain with many years of experience swiftly jammed the cork in after the leak was found
27,ppiping_short,The cadet with little experience remembered in which hole the boatswain swiftly jammed the cork after the leak was found
27,ppiping_long,The cadet remembered in which hole the boatswain with many years of experience swiftly jammed the cork after the leak was found
27,doubling_short,The cadet with little experience remembered in which hole the boatswain swiftly jammed the cork in after the leak was found
27,doubling_long,The cadet remembered in which hole the boatswain with many years of experience swiftly jammed the cork in after the leak was found
28,stranding_short,The passenger with motion sickness forgot which compartment the steward safely stored the luggage in while looking for medicine
28,stranding_long,The passenger forgot which compartment the steward with symptoms of motion sickness safely stored the luggage in while looking for medicine
28,ppiping_short,The passenger with motion sickness forgot in which compartment the steward safely stored the luggage while looking for medicine
28,ppiping_long,The passenger forgot in which compartment the steward with symptoms of motion sickness safely stored the luggage while looking for medicine
28,doubling_short,The passenger with motion sickness forgot in which compartment the steward safely stored the luggage in while looking for medicine
28,doubling_long,The passenger forgot in which compartment the steward with symptoms of motion sickness safely stored the luggage in while looking for medicine
29,stranding_short,The musician with little talent discovered which case the shopkeeper lovingly kept the cello in while searching for instruments
29,stranding_long,The musician discovered which case the shopkeeper with an impressive record collection lovingly kept the cello in while searching for instruments
29,ppiping_short,The musician with little talent discovered in which case the shopkeeper lovingly kept the cello while searching for instruments
29,ppiping_long,The musician discovered in which case the shopkeeper with an impressive record collection lovingly kept the cello while searching for instruments
29,doubling_short,The musician with little talent discovered in which case the shopkeeper lovingly kept the cello in while searching for instruments
29,doubling_long,The musician discovered in which case the shopkeeper with an impressive record collection lovingly kept the cello in while searching for instruments
30,stranding_short,The hiker with the backpack knew which glade the monk respectfully planted the tree in while saying a prayer
30,stranding_long,The hiker knew which glade the monk with the large traveler's backpack respectfully planted the tree in while saying a prayer
30,ppiping_short,The hiker with the backpack knew in which glade the monk respectfully planted the tree while saying a prayer
30,ppiping_long,The hiker knew in which glade the monk with the large traveler's backpack respectfully planted the tree while saying a prayer
30,doubling_short,The hiker with the backpack knew in which glade the monk respectfully planted the tree in while saying a prayer
30,doubling_long,The hiker knew in which glade the monk with the large traveler's backpack respectfully planted the tree in while saying a prayer
31,where_short,The prepcook at the restaurant asked where the chef generously sprinkled the salt while seasoning entrees for dinner
31,where_long,The prepcook asked where the chef at the five star restaurant generously sprinkled the salt while seasoning entrees for dinner
31,whereP_short,The prepcook at the restaurant asked where the chef generously sprinkled the salt on while seasoning entrees for dinner
31,whereP_long,The prepcook asked where the chef at the five star restaurant generously sprinkled the salt on while seasoning entrees for dinner
32,where_short,The scoutmaster with several badges remembered where the girlscout bitterly smeared the mud during last year's summer camp
32,where_long,The scoutmaster remembered where the girlscout with all the merit badges bitterly smeared the mud during last year's summer camp
32,whereP_short,The scoutmaster with several badges remembered where the girlscout bitterly smeared the mud on during last year's summer camp
32,whereP_long,The scoutmaster remembered where the girlscout with all the merit badges bitterly smeared the mud on during last year's summer camp
33,where_short,The nanny with teary eyes knew where the toddler frantically stuffed the sheets after he wet the bed
33,where_long,The nanny knew where the toddler with a teary eyed face frantically stuffed the sheets after he wet the bed
33,whereP_short,The nanny with teary eyes knew where the toddler frantically stuffed the sheets in after he wet the bed
33,whereP_long,The nanny knew where the toddler with a teary eyed face frantically stuffed the sheets in after he wet the bed
34,where_short,The cardshark at the casino wondered where the dealer neatly stacked the chips after finishing the tournament
34,where_long,The cardshark wondered where the dealer at the very upscale casino neatly stacked the chips after finishing the tournament
34,whereP_short,The cardshark at the casino wondered where the dealer neatly stacked the chips on after finishing the tournament
34,whereP_long,The cardshark wondered where the dealer at the very upscale casino neatly stacked the chips on after finishing the tournament
35,where_short,The designer for the apartments discovered where the painter sloppily draped the curtains while painting the room
35,where_long,The designer discovered where the painter for the new apartment complex sloppily draped the curtains while painting the room
35,whereP_short,The designer for the apartments discovered where the painter sloppily draped the curtains on while painting the room
35,whereP_long,The designer discovered where the painter for the new apartment complex sloppily draped the curtains on while painting the room
36,where_short,The hostess for the party knew where the maid meticulously arranged the silverware before the dinner
36,where_long,The hostess knew where the maid for the exclusive cocktail party meticulously arranged the silverware before the dinner
36,whereP_short,The hostess for the party knew where the maid meticulously arranged the silverware on before the dinner
36,whereP_long,The hostess knew where the maid for the exclusive cocktail party meticulously arranged the silverware on before the dinner
,,      
,,      
,,      
